State District,Crop,Rendimento_Medio,Rendimento_Std_Dev,Contagem_Registros,Coef_Variacao_Rendimento (%)
UTTAR PRADESH - AMETHI,MAIZE,1.75,0.7816590747192211,23,44.66623284109835
RAJASTHAN - BANSWARA,RICE,0.7336363636363636,0.3275092940090978,22,44.64191120322275
MADHYA PRADESH - SAGAR,WHEAT,1.5299999999999998,0.6827256298940928,22,44.6225901891564
JHARKHAND - GARHWA,WHEAT,1.1611764705882355,0.5178668066325209,17,44.59845852458386
BIHAR - KATIHAR,RICE,1.69046875,0.753576508765694,64,44.577961513082926
MAHARASHTRA - AKOLA,MAIZE,1.7246341463414632,0.7685996928212229,41,44.56595588413258
ODISHA - BARGARH,MAIZE,1.5973333333333333,0.7117341178737004,45,44.55764510895454
ASSAM - UDALGURI,RICE,1.6576190476190478,0.7373611800686565,42,44.48315076541736
JAMMU AND KASHMIR - DODA,WHEAT,1.0844999999999998,0.48054218282444694,20,44.31002146836764
ODISHA - PURI,RICE,1.6684,0.7391621290767164,50,44.30365194657854
JHARKHAND - GIRIDIH,MAIZE,1.1566666666666667,0.5121810341712254,18,44.28078105226732
MADHYA PRADESH - SEONI,RICE,1.39,0.614638879652884,22,44.21862443545928
JAMMU AND KASHMIR - ANANTNAG,WHEAT,1.5557142857142858,0.6869705753731898,7,44.157888224171984
ASSAM - DHEMAJI,WHEAT,0.805,0.3552698504892677,22,44.1329006818966
BIHAR - VAISHALI,MAIZE,2.841666666666667,1.2536845184474732,66,44.11793026794627
ASSAM - DARRANG,RICE,1.7516666666666667,0.7720493872870158,66,44.075131529230205
MADHYA PRADESH - TIKAMGARH,RICE,0.5252380952380952,0.23135727884851706,21,44.04807666200235
JHARKHAND - GUMLA,RICE,0.9163333333333333,0.40352313383526095,30,44.03671886161451
GUJARAT - BHARUCH,RICE,2.1702500000000002,0.9555840944356814,40,44.03106068128931
BIHAR - JEHANABAD,RICE,1.8308823529411764,0.8054976539930052,34,43.995052587569766
TELANGANA - KAMAREDDY,WHEAT,1.7466666666666668,0.7681362726322285,3,43.97726751711232
BIHAR - PATNA,MAIZE,2.7286363636363635,1.1979519527589084,66,43.902953457764426
ODISHA - MAYURBHANJ,MAIZE,1.6346428571428573,0.7172040771716852,56,43.87527673324707
UTTAR PRADESH - DEORIA,MAIZE,1.9017543859649124,0.833536190848144,57,43.82985505382307
KARNATAKA - RAICHUR,WHEAT,0.5572727272727273,0.24425166214147748,22,43.82982518036301
JHARKHAND - KHUNTI,RICE,1.136111111111111,0.4970044252245754,18,43.746110777713234
ANDHRA PRADESH - CHITTOOR,MAIZE,4.676279069767442,2.043408710552301,43,43.69732173948127
MADHYA PRADESH - MORENA,MAIZE,1.2372222222222222,0.5406075618669355,18,43.69526768569752
ODISHA - RAYAGADA,RICE,1.5705263157894735,0.6857436553860748,57,43.663302454207184
BIHAR - SITAMARHI,RICE,1.263448275862069,0.5515450442839352,58,43.65394728229837
KARNATAKA - CHIKKAMAGALURU,WHEAT,0.8906666666666666,0.38806234157977887,15,43.569873680364395
BIHAR - PASHCHIM CHAMPARAN,MAIZE,2.7459090909090906,1.196092326347282,66,43.55906502175171
UTTAR PRADESH - BALLIA,MAIZE,1.6973684210526316,0.7385157081117634,57,43.509452570925596
BIHAR - GAYA,MAIZE,3.0059375,1.3072043582114405,64,43.48740977520127
HIMACHAL PRADESH - BILASPUR,WHEAT,1.2547619047619047,0.5449735686032767,21,43.43242861733894
GUJARAT - ARAVALLI,MAIZE,2.4233333333333333,1.0519890457514052,15,43.410827197444505
MADHYA PRADESH - BETUL,RICE,1.3309523809523809,0.5776322771617317,21,43.39992064542528
TAMIL NADU - ERODE,MAIZE,5.22,2.264884986042338,26,43.38860126517889
BIHAR - ROHTAS,MAIZE,2.4693877551020407,1.0713667442478658,49,43.38592600673176
BIHAR - GAYA,RICE,1.6504081632653063,0.7146909564737097,49,43.303891266491625
JHARKHAND - PALAMU,WHEAT,1.2158823529411766,0.5244408787405094,17,43.13253477788417
MAHARASHTRA - YAVATMAL,RICE,0.7046666666666667,0.3038295261365836,15,43.116772867064846
MADHYA PRADESH - SINGRAULI,MAIZE,2.000833333333333,0.8626329497883825,12,43.11368345464636
JHARKHAND - SARAIKELA KHARSAWAN,WHEAT,1.4511764705882353,0.6252687657413929,17,43.08702479774495
HARYANA - KURUKSHETRA,MAIZE,3.38375,1.4571394432733116,8,43.06285757734205
UTTAR PRADESH - BANDA,MAIZE,1.4836363636363636,0.6388870192581967,22,43.06223781764806
BIHAR - VAISHALI,RICE,1.409032258064516,0.6062778394552201,62,43.027960217746845
BIHAR - SUPAUL,MAIZE,3.717846153846154,1.5992444429984862,65,43.0153475109251
MADHYA PRADESH - SHEOPUR,BARLEY,1.9515789473684209,0.8378163625222066,19,42.930180388138965
JAMMU AND KASHMIR - REASI,BARLEY,0.703529411764706,0.3019714633965971,17,42.922365198512956
HIMACHAL PRADESH - SOLAN,BARLEY,0.9614285714285715,0.41259284669375584,21,42.914560577359445
MADHYA PRADESH - ANUPPUR,RICE,1.15125,0.493718880875882,16,42.885461965331764
HARYANA - FARIDABAD,BARLEY,3.4386666666666668,1.473944497242817,15,42.86383764761973
ODISHA - DHENKANAL,MAIZE,1.308125,0.5606783742589883,48,42.86122306805453
MIZORAM - SERCHHIP,RICE,1.6484,0.7063856359430497,25,42.852804898268
MADHYA PRADESH - DINDORI,RICE,1.0147619047619048,0.43394261196175526,21,42.76299789393177
TAMIL NADU - NAGAPATTINAM,MAIZE,4.9384999999999994,2.110889747550968,20,42.743540499159025
MANIPUR - SENAPATI,MAIZE,2.5481818181818183,1.0885238127432448,33,42.717666572157306
BIHAR - ARARIA,WHEAT,1.875,0.7989323232557668,22,42.60972390697423
MAHARASHTRA - YAVATMAL,MAIZE,1.7575,0.7487947105305423,28,42.60567342990283
ODISHA - JAJAPUR,MAIZE,0.8603448275862069,0.36642561863241463,29,42.59055286709428
BIHAR - BHOJPUR,RICE,1.8066071428571429,0.769380569704591,56,42.58704349457062
UTTAR PRADESH - JALAUN,RICE,1.1390909090909092,0.4848751345489848,22,42.56685139695796
KARNATAKA - BIDAR,RICE,1.0346666666666666,0.43990385574446894,30,42.51648090313811
BIHAR - SARAN,MAIZE,2.5136363636363637,1.0686765882855531,66,42.515162644271555
HARYANA - KARNAL,MAIZE,3.651818181818182,1.5524549473773348,11,42.511835750935234
BIHAR - MUNGER,MAIZE,2.3059090909090907,0.9790387393493951,66,42.45782035420204
BIHAR - GOPALGANJ,MAIZE,2.5557575757575757,1.0851175910841124,66,42.457766784177984
MAHARASHTRA - AMRAVATI,MAIZE,1.6551162790697675,0.7021374580285383,43,42.42224349476907
BIHAR - JAMUI,RICE,1.4719354838709677,0.6234656865983816,31,42.35686233738731
UTTAR PRADESH - ALLAHABAD,MAIZE,1.923170731707317,0.814485847097389,41,42.35119813695999
ASSAM - SONITPUR,RICE,1.6793939393939394,0.7112067291969415,66,42.3490113018749
BIHAR - MADHEPURA,MAIZE,3.813787878787879,1.613439484361583,66,42.305433223894354
MAHARASHTRA - OSMANABAD,RICE,0.32666666666666666,0.1381786283523372,21,42.29958010785833
MAHARASHTRA - DHULE,RICE,0.9904761904761905,0.41850300107019767,21,42.252706838818035
TELANGANA - MEDCHAL MALKAJGIRI,MAIZE,4.88,2.061853535050441,6,42.25109702972215
ANDHRA PRADESH - MAHBUBNAGAR,MAIZE,3.4040624999999998,1.4377914501179432,32,42.23751620653097
MADHYA PRADESH - GWALIOR,MAIZE,2.108421052631579,0.8895083733157492,19,42.18836518472101
KARNATAKA - DHARWAD,WHEAT,0.6236363636363637,0.26301449271213817,22,42.1743355660863
JAMMU AND KASHMIR - BARAMULLA,WHEAT,0.805625,0.33966588976031525,16,42.16178616109421
TELANGANA - BHADRADRI,MAIZE,5.55,2.3395042209835832,6,42.15322920691141
MIZORAM - LUNGLEI,MAIZE,1.8653658536585367,0.7862000304024911,41,42.14722966331345
MAHARASHTRA - AURANGABAD,RICE,0.6463636363636364,0.2724067813866875,11,42.14450907529624
ARUNACHAL PRADESH - LOWER SUBANSIRI,RICE,1.3213636363636363,0.5568559312232637,22,42.14251973481872
ODISHA - NAYAGARH,MAIZE,1.2976744186046512,0.5468256325605532,43,42.13889283172721
MADHYA PRADESH - DHAR,RICE,0.67,0.28144271175498575,21,42.00637488880384
GUJARAT - DANG,RICE,1.54,0.6456595004150334,22,41.92594158539178
ASSAM - GOALPARA,RICE,1.8074242424242424,0.7569296494209313,66,41.87891429439305
MIZORAM - AIZAWL,MAIZE,1.8873170731707316,0.7895569149537096,41,41.83488435397014
MIZORAM - MAMIT,RICE,1.5357142857142858,0.6424457237280891,28,41.833675033456956
ODISHA - ANUGUL,MAIZE,1.2517857142857143,0.522630086956547,56,41.75076300936752
MADHYA PRADESH - BETUL,MAIZE,2.0934782608695652,0.8730750706848659,23,41.70452051038819
MADHYA PRADESH - INDORE,MAIZE,1.6143478260869566,0.6728692030602066,23,41.680559306180314
KARNATAKA - HAVERI,RICE,2.1390697674418604,0.8915684786708581,43,41.68019632838323
TAMIL NADU - THANJAVUR,MAIZE,5.159230769230769,2.148854435417948,26,41.65067490745986
MADHYA PRADESH - PANNA,WHEAT,1.5313636363636363,0.6377138890827172,22,41.64353089884173
MADHYA PRADESH - KHARGONE,BARLEY,2.285,0.9510870973084783,4,41.62306771590714
KARNATAKA - DAKSHINA KANNADA,MAIZE,2.1757142857142857,0.9052045283223222,7,41.60493564186642
MADHYA PRADESH - SEHORE,MAIZE,1.5781818181818181,0.65650326487881,22,41.598709180108926
UTTAR PRADESH - FATEHPUR,MAIZE,1.8549056603773586,0.7706281719418392,53,41.54541055123332
ANDHRA PRADESH - PRAKASAM,MAIZE,4.933863636363636,2.047536484507937,44,41.49965697100245
JHARKHAND - SAHEBGANJ,MAIZE,1.1766666666666667,0.4882622246293482,18,41.4953731979616
MADHYA PRADESH - ALIRAJPUR,RICE,0.8516666666666667,0.35331760971303616,12,41.48543362579681
ODISHA - SAMBALPUR,MAIZE,1.2183783783783784,0.5052090519638245,37,41.46569414964842
MIZORAM - SERCHHIP,MAIZE,1.041764705882353,0.4313675244805415,17,41.407385184467564
ANDHRA PRADESH - ADILABAD,WHEAT,0.826875,0.34189118639317584,16,41.347384597814155
MAHARASHTRA - OSMANABAD,WHEAT,0.8377272727272728,0.3463129855819501,22,41.33958590777483
JHARKHAND - GARHWA,MAIZE,1.29,0.5328344020425108,17,41.30499240639618
RAJASTHAN - RAJSAMAND,MAIZE,1.3868181818181817,0.572649534337966,22,41.292329581892005
JHARKHAND - RANCHI,MAIZE,1.9916666666666667,0.8209266643466357,18,41.21807519732062
TAMIL NADU - THIRUVARUR,RICE,2.8552,1.1763577970441927,25,41.20053926324576
JAMMU AND KASHMIR - BARAMULLA,MAIZE,1.0994736842105264,0.4523822582753872,19,41.145346611930854
MADHYA PRADESH - PANNA,MAIZE,1.0663636363636364,0.4384881543119055,22,41.119946269658655
UTTAR PRADESH - GHAZIPUR,MAIZE,1.8045454545454545,0.7419664018095034,55,41.11652604485913
UTTAR PRADESH - HAMIRPUR,MAIZE,1.754,0.7190666464975712,20,40.99581793030623
TAMIL NADU - NAGAPATTINAM,RICE,2.6648,1.0923946173430186,25,40.99349359588031
UTTAR PRADESH - KAUSHAMBI,BARLEY,1.778181818181818,0.7269940483390124,22,40.88412337284835
BIHAR - ARWAL,MAIZE,3.3495555555555554,1.3643745745937876,45,40.733003288476375
HIMACHAL PRADESH - CHAMBA,WHEAT,1.5657142857142858,0.6365734162574763,21,40.657061257320564
MAHARASHTRA - GADCHIROLI,MAIZE,1.74,0.7070424958296996,45,40.63462619710917
ANDHRA PRADESH - KURNOOL,MAIZE,5.0636363636363635,2.056220387822788,44,40.60758396059366
UTTAR PRADESH - SANT KABEER NAGAR,MAIZE,1.6622,0.6741352435013409,50,40.55680685244501
MAHARASHTRA - BULDHANA,MAIZE,1.6695161290322582,0.6762685164141287,62,40.50685732554919
JAMMU AND KASHMIR - DODA,RICE,1.2984210526315791,0.5249789747948084,19,40.43210588204847
UTTAR PRADESH - SIDDHARTH NAGAR,MAIZE,1.6381249999999998,0.6621231364877235,48,40.41957338345508
MADHYA PRADESH - RAISEN,WHEAT,2.085909090909091,0.8427599731206818,22,40.402526495216826
ODISHA - MALKANGIRI,WHEAT,0.8233333333333333,0.3323151115031234,3,40.36215929187733
MIZORAM - AIZAWL,RICE,1.6434285714285712,0.6627924120813432,35,40.32985817602054
UTTAR PRADESH - MAU,MAIZE,1.5945098039215686,0.6428197685992247,51,40.31456984574577
BIHAR - KHAGARIA,WHEAT,2.2490909090909095,0.9066049125900802,22,40.3098384740941
ARUNACHAL PRADESH - ANJAW,MAIZE,1.5533333333333335,0.6256273042391324,15,40.27643589522311
TELANGANA - MEDAK,WHEAT,1.1133333333333333,0.44835997442531234,6,40.271853990297515
UTTAR PRADESH - ALLAHABAD,BARLEY,1.7931818181818182,0.7219971399734698,22,40.263465347062954
JAMMU AND KASHMIR - BADGAM,WHEAT,0.9727777777777779,0.39166020019693176,18,40.26204228180909
MAHARASHTRA - NANDURBAR,RICE,1.0,0.4022188459035702,21,40.22188459035702
ODISHA - KORAPUT,MAIZE,1.6044,0.6452911382168706,50,40.220090888610734
WEST BENGAL - NADIA,BARLEY,1.197,0.4810635147910906,20,40.18909898004098
BIHAR - RANCHI,MAIZE,1.9283333333333335,0.7740908646061305,6,40.143000757448426
JHARKHAND - WEST SINGHBHUM,RICE,0.7896666666666667,0.3168539675964453,30,40.12502755548062
KARNATAKA - HAVERI,WHEAT,0.6342857142857143,0.254294542382872,21,40.09148190720955
HARYANA - JHAJJAR,MAIZE,2.5,1.0,4,40.0
KARNATAKA - GADAG,WHEAT,0.580952380952381,0.2323123923062384,21,39.98819867566398
