State District,Crop,Area_Total,Producao_Total,Rendimento_Medio_Local
UTTAR PRADESH - GORAKHPUR,WHEAT,4099978.0,11188911.0,2.725
UTTAR PRADESH - ALLAHABAD,WHEAT,4706216.0,11073889.0,2.351818181818182
PUNJAB - TARN TARAN,WHEAT,2408000.0,10977000.0,4.559230769230769
WEST BENGAL - DINAJPUR DAKSHIN,RICE,4333872.0,10953568.0,2.477272727272727
HARYANA - KURUKSHETRA,WHEAT,2403866.0,10898900.0,4.529545454545455
TAMIL NADU - VILLUPURAM,RICE,2959313.0,10832830.0,3.742
UTTAR PRADESH - SHAHJAHANPUR,RICE,4277271.0,10812778.0,2.5543902439024393
CHHATTISGARH - JANJGIR-CHAMPA,RICE,4949839.0,10689475.0,2.1557894736842105
UTTAR PRADESH - BARABANKI,WHEAT,3419968.0,10582742.0,3.071818181818182
UTTAR PRADESH - MAINPURI,WHEAT,3077738.0,10319592.0,3.325
UTTAR PRADESH - RAMPUR,WHEAT,3035427.0,10256818.0,3.3740909090909095
ODISHA - MAYURBHANJ,RICE,7257663.0,10167168.0,1.4950877192982457
HARYANA - KAITHAL,RICE,3499277.0,10126000.0,2.894090909090909
CHHATTISGARH - RAIPUR,RICE,7179441.0,10005043.0,1.5678947368421052
MADHYA PRADESH - VIDISHA,WHEAT,5119626.0,9985955.0,1.8813636363636363
UTTAR PRADESH - AGRA,WHEAT,2900833.0,9973483.0,3.4345454545454546
RAJASTHAN - JAIPUR,WHEAT,3408646.0,9970087.0,2.955909090909091
PUNJAB - BATHINDA,RICE,2361000.0,9915000.0,4.146818181818182
MADHYA PRADESH - SEHORE,WHEAT,4081925.0,9855427.0,2.2981818181818183
MADHYA PRADESH - UJJAIN,WHEAT,3543725.0,9814163.0,2.489090909090909
UTTAR PRADESH - FATEHPUR,WHEAT,3503448.0,9806879.0,2.775909090909091
RAJASTHAN - BUNDI,WHEAT,2794963.0,9803898.0,3.4204545454545454
TAMIL NADU - THIRUVARUR,RICE,3552289.0,9754242.0,2.8552
UTTAR PRADESH - KHERI,RICE,3967847.0,9651657.0,2.4483333333333333
MADHYA PRADESH - RAISEN,WHEAT,4348424.0,9544244.0,2.085909090909091
KARNATAKA - DAVANGERE,MAIZE,3331620.0,9525148.0,2.8804761904761906
UTTAR PRADESH - SIDDHARTH NAGAR,WHEAT,3294579.0,9509231.0,2.8645454545454543
UTTAR PRADESH - GONDA,WHEAT,3440809.0,9454259.0,2.75
KARNATAKA - RAICHUR,RICE,3133426.0,9379704.0,2.923695652173913
MADHYA PRADESH - DHAR,WHEAT,3599113.0,9248029.0,2.4095454545454547
UTTAR PRADESH - PILIBHIT,RICE,3365073.0,9243041.0,2.766190476190476
UTTAR PRADESH - MAHARAJGANJ,WHEAT,3194690.0,9146002.0,2.8527272727272726
HARYANA - KURUKSHETRA,RICE,2544511.0,9143000.0,3.589090909090909
PUNJAB - KAPURTHALA,RICE,2429000.0,9138000.0,3.7436363636363637
UTTAR PRADESH - BARABANKI,RICE,3808449.0,9136287.0,2.3468
ANDHRA PRADESH - SRIKAKULAM,RICE,4330987.0,9127864.0,2.3597727272727274
WEST BENGAL - JALPAIGURI,RICE,4958775.0,9087184.0,1.9871212121212123
UTTAR PRADESH - GHAZIPUR,WHEAT,3705857.0,9065550.0,2.4390909090909094
ODISHA - GANJAM,RICE,5508042.0,9020158.0,1.6391999999999998
UTTAR PRADESH - BAHRAICH,WHEAT,3233716.0,8968032.0,2.7490476190476194
PUNJAB - FATEHGARH SAHIB,WHEAT,1870000.0,8958000.0,4.791363636363636
MADHYA PRADESH - CHHINDWARA,MAIZE,2601069.0,8915457.0,2.964782608695652
UTTAR PRADESH - AZAMGARH,RICE,4545290.0,8909937.0,1.9626923076923077
HARYANA - JHAJJAR,WHEAT,2165164.0,8873300.0,4.093636363636364
UTTAR PRADESH - MAHARAJGANJ,RICE,3634460.0,8839994.0,2.428292682926829
HARYANA - PANIPAT,WHEAT,1926128.0,8802100.0,4.544090909090909
KARNATAKA - BELAGAVI,MAIZE,2891232.0,8779660.0,2.923636363636364
UTTAR PRADESH - RAE BARELI,WHEAT,3642010.0,8770250.0,2.4554545454545456
PUNJAB - MUKTSAR,RICE,2289000.0,8760000.0,3.7686363636363636
UTTAR PRADESH - SULTANPUR,WHEAT,3111166.0,8759320.0,2.868181818181818
UTTAR PRADESH - MUZAFFARNAGAR,WHEAT,2507980.0,8732602.0,3.5086363636363633
UTTAR PRADESH - DEORIA,WHEAT,3224106.0,8664255.0,2.68
ASSAM - NAGAON,RICE,4625315.0,8649231.0,1.8746969696969698
RAJASTHAN - BARAN,WHEAT,2403996.0,8618541.0,3.3709090909090906
UTTAR PRADESH - JALAUN,WHEAT,2923483.0,8580802.0,2.924090909090909
HARYANA - ROHTAK,WHEAT,2126471.0,8542000.0,3.996818181818182
UTTAR PRADESH - KANPUR NAGAR,WHEAT,2668981.0,8392384.0,3.1363636363636362
ANDHRA PRADESH - WARANGAL,RICE,2966227.0,8390734.0,2.7946875
BIHAR - AURANGABAD,RICE,3322703.0,8371441.0,2.326
MADHYA PRADESH - HARDA,WHEAT,2571459.0,8354946.0,3.046666666666667
ODISHA - BALESHWAR,RICE,5165940.0,8282877.0,1.87
TAMIL NADU - CUDDALORE,RICE,2491660.0,8276356.0,3.4128
CHHATTISGARH - DURG,RICE,6003657.0,8259337.0,1.55
TAMIL NADU - NAGAPATTINAM,RICE,3336285.0,8229856.0,2.6648
UTTAR PRADESH - BALLIA,WHEAT,3024260.0,8195843.0,2.7113636363636364
TAMIL NADU - KANCHIPURAM,RICE,2239258.0,8185780.0,3.8975999999999997
ANDHRA PRADESH - GUNTUR,MAIZE,940626.0,8177938.0,5.514545454545455
KARNATAKA - DAVANGERE,RICE,2340496.0,8142128.0,3.4375
PUNJAB - FARIDKOT,RICE,2067000.0,8140000.0,3.909090909090909
UTTAR PRADESH - ALLAHABAD,RICE,3626791.0,8111373.0,2.247272727272727
PUNJAB - SHAHID BHAGAT SINGH NAGAR,WHEAT,1795000.0,8011000.0,4.443636363636364
UTTAR PRADESH - PRATAPGARH,WHEAT,3237597.0,8002756.0,2.4654545454545453
UTTAR PRADESH - AMBEDKAR NAGAR,WHEAT,2566285.0,7998569.0,3.1136363636363638
RAJASTHAN - KOTA,WHEAT,2266022.0,7975291.0,3.4431818181818183
UTTAR PRADESH - SAHARANPUR,WHEAT,2577341.0,7953905.0,3.097272727272727
ODISHA - KALAHANDI,RICE,5697358.0,7921581.0,1.6040350877192984
RAJASTHAN - CHITTORGARH,WHEAT,2293557.0,7875196.0,3.305909090909091
ANDHRA PRADESH - PRAKASAM,RICE,2333533.0,7850203.0,3.3563636363636364
UTTAR PRADESH - BIJNOR,WHEAT,2584588.0,7805269.0,2.9890909090909092
PUNJAB - FATEHGARH SAHIB,RICE,1859000.0,7804000.0,4.194090909090909
MADHYA PRADESH - BALAGHAT,RICE,5286438.0,7780273.0,1.539090909090909
CHHATTISGARH - BILASPUR,RICE,5302819.0,7761856.0,1.5042105263157894
ANDHRA PRADESH - KARIMNAGAR,MAIZE,1895564.0,7722416.0,4.175625
ANDHRA PRADESH - NIZAMABAD,RICE,2473059.0,7701902.0,3.01625
UTTAR PRADESH - SIDDHARTH NAGAR,RICE,3756146.0,7685889.0,1.9703703703703705
HARYANA - AMBALA,WHEAT,1919411.0,7681600.0,3.958636363636364
TAMIL NADU - TIRUVANNAMALAI,RICE,2213545.0,7578140.0,3.508
KARNATAKA - BALLARI,RICE,2143240.0,7526703.0,3.4707272727272724
KARNATAKA - HAVERI,MAIZE,2801714.0,7509465.0,2.7646031746031743
GUJARAT - JUNAGADH,WHEAT,1973868.0,7494468.0,3.6318181818181823
BIHAR - ROHTAS,WHEAT,2901645.0,7487131.0,2.559090909090909
UTTAR PRADESH - BAREILLY,RICE,3602924.0,7469284.0,2.087619047619048
PUNJAB - TARN TARAN,RICE,2294000.0,7436000.0,3.233846153846154
UTTAR PRADESH - JHANSI,WHEAT,3016273.0,7388196.0,2.4222727272727274
UTTAR PRADESH - KANPUR DEHAT,WHEAT,2096198.0,7369542.0,3.5055555555555555
MADHYA PRADESH - DEWAS,WHEAT,2692743.0,7320666.0,2.54
MADHYA PRADESH - SHIVPURI,WHEAT,3057969.0,7203803.0,2.2118181818181815
MAHARASHTRA - RAIGAD,RICE,2811598.0,7163179.0,2.659090909090909
ANDHRA PRADESH - KHAMMAM,RICE,2612743.0,7159642.0,2.800625
KARNATAKA - MYSURU,RICE,2324223.0,7136889.0,2.931896551724138
HARYANA - FARIDABAD,WHEAT,1762305.0,7130600.0,4.202727272727273
MADHYA PRADESH - INDORE,WHEAT,2349984.0,7124608.0,2.891363636363636
KARNATAKA - SHIVAMOGGA,RICE,2908371.0,7080310.0,2.7691836734693878
ANDHRA PRADESH - KURNOOL,RICE,2124090.0,7026032.0,3.1747727272727273
UTTAR PRADESH - FIROZABAD,WHEAT,2205734.0,7022883.0,3.1872727272727275
UTTAR PRADESH - AURAIYA,WHEAT,2106984.0,6954768.0,3.286363636363636
PUNJAB - MANSA,RICE,1779000.0,6946000.0,3.894545454545455
PUNJAB - FAZILKA,WHEAT,1459000.0,6945000.0,4.758571428571429
PUNJAB - BARNALA,WHEAT,1370000.0,6927000.0,5.054166666666666
TAMIL NADU - THIRUVALLUR,RICE,1934282.0,6921869.0,3.6664
TAMIL NADU - TIRUNELVELI,RICE,1611588.0,6897759.0,4.2788
MADHYA PRADESH - SAGAR,WHEAT,4270004.0,6890252.0,1.5299999999999998
HARYANA - FATEHABAD,RICE,1802176.0,6850100.0,3.7381818181818187
UTTAR PRADESH - GHAZIPUR,RICE,3222649.0,6787465.0,2.104090909090909
UTTAR PRADESH - MEERUT,WHEAT,1756613.0,6776640.0,3.863181818181818
MADHYA PRADESH - CHHINDWARA,WHEAT,2579325.0,6772912.0,2.4
UTTARAKHAND - UDAM SINGH NAGAR,WHEAT,1841933.0,6772095.0,3.6589473684210523
UTTAR PRADESH - BAHRAICH,RICE,3364520.0,6768794.0,1.9517857142857142
UTTAR PRADESH - RAMPUR,RICE,3027916.0,6760221.0,2.2392857142857143
CHHATTISGARH - MAHASAMUND,RICE,4968939.0,6759953.0,1.3452631578947367
UTTAR PRADESH - KUSHI NAGAR,WHEAT,2498453.0,6742655.0,2.6931818181818183
UTTAR PRADESH - BASTI,WHEAT,2495458.0,6733122.0,2.685909090909091
MADHYA PRADESH - SATNA,WHEAT,3507536.0,6718743.0,1.8645454545454547
UTTAR PRADESH - SITAPUR,RICE,3380874.0,6716378.0,2.028857142857143
