State District,Crop,Rendimento_Medio,Precipitacao_Anual_Media,Precipitacao_Jun_Sep_Media,Temp_Media_JanFeb,Temp_Media_MarMay,Temp_Media_JunSep,Temp_Media_OctDec
ANDAMAN AND NICOBAR ISLAND - NICOBARS,MAIZE,3.1362500000000004,1113.7125,866.1625,19.92375,26.7,27.59375,22.63
ANDAMAN AND NICOBAR ISLAND - NICOBARS,RICE,2.2933333333333334,1123.8555555555556,854.6833333333333,20.129444444444445,27.0,27.705555555555556,22.751666666666665
ANDAMAN AND NICOBAR ISLAND - NORTH AND MIDDLE ANDAMAN,MAIZE,2.2066666666666666,1147.0555555555557,878.6888888888889,20.453333333333333,27.285555555555554,27.89333333333333,23.064444444444447
ANDAMAN AND NICOBAR ISLAND - NORTH AND MIDDLE ANDAMAN,RICE,2.3641666666666667,1135.4750000000001,868.1666666666666,20.374166666666667,27.115,27.761666666666667,22.953333333333333
ANDAMAN AND NICOBAR ISLAND - SOUTH ANDAMANS,MAIZE,2.2377777777777776,1147.0555555555557,878.6888888888889,20.453333333333333,27.285555555555554,27.89333333333333,23.064444444444447
ANDAMAN AND NICOBAR ISLAND - SOUTH ANDAMANS,RICE,2.4014285714285712,1142.8142857142857,866.7142857142857,20.32857142857143,27.087142857142855,27.768571428571427,22.801428571428573
ANDHRA PRADESH - ADILABAD,MAIZE,3.4315625,1122.65625,848.66875,19.811875,26.654374999999998,27.53,22.429375
ANDHRA PRADESH - ADILABAD,RICE,2.386875,1122.65625,848.66875,19.811875,26.654374999999998,27.53,22.429375
ANDHRA PRADESH - ADILABAD,WHEAT,0.826875,1122.65625,848.66875,19.811875,26.654374999999998,27.53,22.429375
ANDHRA PRADESH - ANANTAPUR,MAIZE,4.636136363636364,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - ANANTAPUR,RICE,2.629090909090909,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - ANANTAPUR,WHEAT,0.7000000000000001,1130.6588235294118,854.4235294117648,19.97,26.75176470588235,27.586470588235297,22.58235294117647
ANDHRA PRADESH - CHITTOOR,MAIZE,4.676279069767442,1130.6023255813955,856.6209302325581,20.119302325581394,26.90395348837209,27.673023255813956,22.69046511627907
ANDHRA PRADESH - CHITTOOR,RICE,2.9045454545454543,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - CHITTOOR,WHEAT,0.635,1105.625,843.85,20.0325,26.682499999999997,27.495,22.5375
ANDHRA PRADESH - EAST GODAVARI,MAIZE,5.130681818181818,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - EAST GODAVARI,RICE,3.6725,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - GUNTUR,MAIZE,5.514545454545455,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - GUNTUR,RICE,3.4884090909090912,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - GUNTUR,WHEAT,1.3,1215.5,911.1,20.19,27.83,27.5,22.6
ANDHRA PRADESH - HYDERABAD,RICE,1.957142857142857,1150.3428571428572,850.3000000000001,19.43,26.284285714285716,27.509999999999998,22.268571428571427
ANDHRA PRADESH - KADAPA,MAIZE,4.836153846153846,1127.3846153846155,853.6410256410256,20.135384615384616,26.923589743589744,27.69076923076923,22.727948717948717
ANDHRA PRADESH - KADAPA,RICE,2.559772727272727,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - KADAPA,WHEAT,0.83875,1124.55,854.41875,20.175,26.919999999999998,27.666875,22.75125
ANDHRA PRADESH - KARIMNAGAR,MAIZE,4.175625,1122.65625,848.66875,19.811875,26.654374999999998,27.53,22.429375
ANDHRA PRADESH - KARIMNAGAR,RICE,3.2046875,1122.65625,848.66875,19.811875,26.654374999999998,27.53,22.429375
ANDHRA PRADESH - KARIMNAGAR,WHEAT,0.8185714285714286,1123.4642857142858,843.6999999999999,19.825,26.659285714285716,27.52,22.442857142857143
ANDHRA PRADESH - KHAMMAM,MAIZE,4.378125,1122.65625,848.66875,19.811875,26.654374999999998,27.53,22.429375
ANDHRA PRADESH - KHAMMAM,RICE,2.800625,1122.65625,848.66875,19.811875,26.654374999999998,27.53,22.429375
ANDHRA PRADESH - KRISHNA,MAIZE,5.317727272727272,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - KRISHNA,RICE,3.4902272727272727,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - KURNOOL,MAIZE,5.0636363636363635,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - KURNOOL,RICE,3.1747727272727273,1131.7954545454545,856.8454545454545,20.09090909090909,26.876363636363635,27.671363636363637,22.672272727272727
ANDHRA PRADESH - KURNOOL,WHEAT,0.74,1133.275,854.1850000000001,20.128,26.901999999999997,27.678500000000003,22.706
ANDHRA PRADESH - MAHBUBNAGAR,MAIZE,3.4040624999999998,1122.65625,848.66875,19.811875,26.654374999999998,27.53,22.429375
